Date,Title,Price,Shipping,Condition,Link,Location,Seller,Feedback,FBScore
2020-05-06 09:32:00,Nintendo Switch HAC-001 32GB Console w/ Gray Joy‑Cons + Accessories *BUNDLE*,500.0,15.0,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-32GB-Console-w-Gray-Joy-Cons-Accessories-BUNDLE/362983957532?hash=item548387a41c:g:QL4AAOSwNzRerEwH,"['Miami', 'Florida', 'United States']", lafamiliapawn305,6311.0,100.0
2020-05-06 09:31:00,Nintendo Switch 32GB Gray Console  Neon Red Neon Blue Joy-Con W/ ANIMAL CROSSING,459.99,0.0,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-Neon-Red-Neon-Blue-Joy-Con-W-ANIMAL-CROSSING/224000209682?epid=23024812516&amp;hash=item342773f312:g:8goAAOSwNOxesLW6,"['Surprise', 'Arizona', 'United States']", e-novatek,6852.0,100.0
2020-05-06 09:28:00,Nintendo Switch Console Red Blue Joy-Cons LATEST MODEL,429.99,0.0,Refurbished,https://www.ebay.com/itm/Nintendo-Switch-Console-Red-Blue-Joy-Cons-LATEST-MODEL/174273714224?hash=item289385d830:g:zVwAAOSwQ8VesaqL,"['Hershey', 'Pennsylvania', 'United States']", d.zellers,4619.0,100.0
2020-05-06 09:24:00,Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con,250.0,23.85,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con-/383535030309?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Simmesport', 'Louisiana', 'United States']", martian19,0.0,100.0
2020-05-06 09:22:00,Nintendo Switch Gray Joy-Cons V2  - BRAND NEW - IN HAND - Ships Fast,430.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Gray-Joy-Cons-V2-BRAND-NEW-IN-HAND-Ships-Fast/193443254839?hash=item2d0a1dd237:g:j74AAOSw4wVeqala,"['Mount Prospect', 'Illinois', 'United States']", piot_star,18.0,100.0
2020-05-06 09:20:00,BRAND NEW! Nintendo Switch 32GB Console with Gray Joy‑Con IN HAND,410.0,26.7,Brand New,https://www.ebay.com/itm/BRAND-NEW-Nintendo-Switch-32GB-Console-with-Gray-Joy-Con-IN-HAND/254583152961?hash=item3b4656a141:g:NdwAAOSwzCFeqaj7,"['Jacksonville', 'Florida', 'United States']", jnel78,80.0,100.0
2020-05-06 09:15:00,Brand New Nintendo Switch  32GB Console with Gray Joy‑Con Ships Fast,429.99,9.95,Brand New,https://www.ebay.com/itm/Brand-New-Nintendo-Switch-32GB-Console-with-Gray-Joy-Con-Ships-Fast/164184377173?hash=item263a26c755:g:mM4AAOSw18NePBHd,"['Bellerose', 'New York', 'United States']", zelling_kicks,48.0,97.1
2020-05-06 09:13:00,Nintendo Switch Console 32GB Gray Joy Con Red Blue V2 BRAND NEW SHIPS NOW Animal,435.0,23.15,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Console-32GB-Gray-Joy-Con-Red-Blue-V2-BRAND-NEW-SHIPS-NOW-Animal/224000249007?hash=item3427748caf:g:fBsAAOSwNvBegOFV,"['New York', 'New York', 'United States']", wendell13172,259.0,100.0
2020-05-06 09:02:00,Nintendo Switch Console 32GB With Gray Joy-Con V2 BRAND NEW - IN HAND,440.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Console-32GB-With-Gray-Joy-Con-V2-BRAND-NEW-IN-HAND/153905427661?hash=item23d57a74cd:g:0OoAAOSwcaFen42A,"['Glen Ridge', 'New Jersey', 'United States']", cml661,100.0,100.0
2020-05-06 09:00:00,Nintendo Switch HAC-001(-01) 32GB Console with Gray Joy‑Con IN HAND SHIPS ASAP!,450.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Gray-Joy-Con-IN-HAND-SHIPS-ASAP/402253753905?hash=item5da8312e31:g:42EAAOSw0i5enwoF,"['Baldwin Park', 'California', 'United States']", mancopc36,73.0,100.0
2020-05-06 08:59:00,Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con CONFIRMED,405.0,0.0,Refurbished,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con-CONFIRMED/392788702639?epid=23024812516&amp;hash=item5b7407f5af:g:KWsAAOSwqI5bcoPq,"['Roselle', 'Illinois', 'United States']", vicpaw-17,0.0,50.0
2020-05-06 08:59:00,NEW MODEL: Nintendo Switch 32GB Console with Gray Joy‑Con New  - Ready to Ship!,439.0,0.0,Brand New,https://www.ebay.com/itm/NEW-MODEL-Nintendo-Switch-32GB-Console-with-Gray-Joy-Con-New-Ready-to-Ship/224001242673?hash=item342783b631:g:FJ0AAOSw6Bpeg6VU,"['Silverthorne', 'Colorado', 'United States']", mtnamzn,56.0,100.0
2020-05-06 08:47:00,Nintendo Switch HAC-001(-01) 32GB Console with Gray Joy‑Con,369.0,23.15,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Gray-Joy-Con/303560633499?hash=item46ad9fac9b:g:mM4AAOSw18NePBHd,"['Muskego', 'Wisconsin', 'United States']", muktownjb84,982.0,100.0
2020-05-06 08:41:00,"Nintendo Switch 32GB Console, Animal Crossing Game & Skin Bundle - Ships Today!",579.99,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-Animal-Crossing-Game-Skin-Bundle-Ships-Today/333590482629?hash=item4dab8acec5:g:7iUAAOSw~yterzn2,"['Saugerties', 'New York', 'United States']", m2b_topia,1864.0,99.8
2020-05-06 08:38:00,Nintendo Switch Console 32GB Red Blue Neon Joy-Cons NEW V2 IN HAND SHIPS NOW!,440.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Console-32GB-Red-Blue-Neon-Joy-Cons-NEW-V2-IN-HAND-SHIPS-NOW/362983525381?hash=item5483810c05:g:UykAAOSweLZehymV,"['New York', 'New York', 'United States']", everythingmustgosales,46.0,100.0
2020-05-06 08:34:00,Nintendo Switch 32GB Console with Gray Joy Con In Hand *Ships Today*,425.0,26.7,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-with-Gray-Joy-Con-In-Hand-Ships-Today/254586847513?hash=item3b468f0119:g:NskAAOSwkF1eruTX,"['Gainesville', 'Georgia', 'United States']", garxi.us2015,12.0,100.0
2020-05-06 08:34:00,Nintendo Switch Neon Blue and Red Joy‑Cons SHIPS TOMORROW (Newest Model) SEALED,465.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Neon-Blue-and-Red-Joy-Cons-SHIPS-TOMORROW-Newest-Model-SEALED/303558404663?epid=23024812516&amp;hash=item46ad7daa37:g:0~cAAOSwGslefoOr,"['Louisville', 'Kentucky', 'United States']", l0mart03,545.0,100.0
