Date,Title,Price,Shipping,Condition,Link,Location,Seller,Feedback,FBScore
2020-05-09 10:35:00,Nintendo SwitchÂ Console v2 Blue and Red Joyâ€‘Con **IN HAND** Fast Free Shipping,470.0,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Console-v2-Blue-and-Red-Joy-Con-IN-HAND-Fast-Free-Shipping/303557408826?hash=item46ad6e783a:g:638AAOSwafNera2j,"['Saint Louis', 'Missouri', 'United States']", mom2ss,293.0,100.0
2020-05-09 10:18:00,Nintendo switch,750.0,9.6,Pre-Owned,https://www.ebay.com/itm/Nintendo-switch/254592157293?hash=item3b46e0066d:g:--UAAOSwqjJettm7,"['Centreville', 'Virginia', 'United States']", jcsunshine21,14.0,100.0
2020-05-09 10:12:00,Nintendo Switch 32GB Console Neon Joy-con - Newest Version - In Hand FREE SHIP,459.99,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-Neon-Joy-con-Newest-Version-In-Hand-FREE-SHIP-/184273543373?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Alexandria', 'Virginia', 'United States']", hamann_gtr,66.0,94.1
2020-05-09 10:04:00,NINTENDO SWITCH LITE Turquoise Teal Handheld Video Game Console NEW ~ SHIPS FREE,219.0,9.6,Brand New,https://www.ebay.com/itm/NINTENDO-SWITCH-LITE-Turquoise-Teal-Handheld-Video-Game-Console-NEW-SHIPS-FREE/153921387125?hash=item23d66dfa75:g:BgAAAOSwcMZePBHb,"['Jacksonville', 'Florida', 'United States']", gatordad3,4576.0,100.0
2020-05-09 09:10:00,Nintendo Switch 32GB Console w/ Neon Blue & Neon Red Joy Con *BRAND NEW IN HAND*,450.0,5.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-w-Neon-Blue-Neon-Red-Joy-Con-BRAND-NEW-IN-HAND-/223998594859?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Chino', 'California', 'United States']", fata.wijaya,39.0,100.0
2020-05-09 09:09:00,NEW Nintendo Switch with Neon Blue and Neon Red Joyâ€‘Con Handheld Gaming Console,430.0,14.99,Brand New,https://www.ebay.com/itm/NEW-Nintendo-Switch-with-Neon-Blue-and-Neon-Red-Joy-Con-Handheld-Gaming-Console-/133402188104?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Centreville', 'Virginia', 'United States']", fastn-45,1.0,100.0
2020-05-09 08:56:00,Nintendo Switch Complete + Smash Bros + Monster Hunter + Gamecube Control + Box,460.0,0.0,Pre-Owned,https://www.ebay.com/itm/Nintendo-Switch-Complete-Smash-Bros-Monster-Hunter-Gamecube-Control-Box/114209751938?hash=item1a976e8382:g:VywAAOSwHk9erZaF,"['Moyock', 'North Carolina', 'United States']", lacoste836don,257.0,100.0
2020-05-09 08:55:00,Nintendo Switch 32GB Console Neon Red Blue Joy-Con *GameStop Premium Refurbished,400.0,14.4,Refurbished,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-Neon-Red-Blue-Joy-Con-GameStop-Premium-Refurbished/392789833335?hash=item5b74193677:g:sAkAAOSw131eszAM,"['Phoenix', 'Arizona', 'United States']", chrisdvii,9.0,100.0
2020-05-09 08:50:00,Nintendo Switch HAC-001(-01) 32GB Console with Neon Blue And Neon Red Joy-Con,435.0,23.15,New (Other),https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Neon-Blue-And-Neon-Red-Joy-Con/254589560984?hash=item3b46b86898:g:LwsAAOSwKY9esttH,"['Washington', 'District Of Columbia', 'United States']", nvilanova301,42.0,100.0
2020-05-09 08:42:00,Nintendo Switch Neon Red and Neon Blue Joy-Con Console,439.99,0.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-Neon-Red-and-Neon-Blue-Joy-Con-Console/254590685330?hash=item3b46c99092:g:pPgAAOSwVOtetBuW,"['Chicago', 'Illinois', 'United States']", jinostars,83.0,100.0
2020-05-09 07:15:00,Nintendo Switch 32GB Console with Neon Blue and Neon Red Joyâ€‘Con (No Returns),429.99,15.0,Brand New,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-with-Neon-Blue-and-Neon-Red-Joy-Con-No-Returns/174267625116?hash=item289328ee9c:g:Q74AAOSwUCBeiDyN,"['Bridgeport', 'Connecticut', 'United States']", bed-us0,9.0,100.0
