Date,Title,Price,Shipping,Condition,Link,Location,Seller,Feedback,FBScore
2020-05-08 15:15:00,Nintendo Switch 32GB Sold As Is Or For Parts BANNED AND HACKABLE HAC-001,147.56,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-32GB-Sold-As-Is-Or-For-Parts-BANNED-AND-HACKABLE-HAC-001/153915071030?hash=item23d60d9a36:g:TgwAAOSw6iJeq7IZ,"Sherbrooke, Quebec, Canada", yovallir_0,37.0,100.0
2020-05-06 05:13:00,Nintendo Switch UNPATCHED Console with color Joy‑Con NO POWER,239.99,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-UNPATCHED-Console-with-color-Joy-Con-NO-POWER/264722154357?hash=item3da2ab8375:g:9YoAAOSwbQVesgo1,"['Cape Coral', 'FL', 'United States']", electronicas2012,101.0,90.2
2020-05-05 12:00:00,Nintendo Switch HAC-001 32GB Console with Gray Joy‑Con - WATER DAMAGE,220.0,10.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-32GB-Console-with-Gray-Joy-Con-WATER-DAMAGE/254583638881?hash=item3b465e0b61:g:EH4AAOSwAkZeqlsA,"['Los Angeles', 'California', 'United States']", zella05nic,245.0,100.0
2020-05-05 05:23:00,"Nintendo Switch Console HACSKABAA, - Locked",209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Console-HACSKABAA-Locked-/264716338990?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
2020-05-05 05:23:00,Nintendo Switch Console - HACSKABAA - Locked,209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Console-HACSKABAA-Locked-/264716338479?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
2020-05-05 05:23:00,Nintendo Switch Gaming Console - HACSKABAA Customer Email Locked Device,209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Gaming-Console-HACSKABAA-Customer-Email-Locked-Device-/264555211628?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
2020-05-05 05:23:00,"Nintendo Switch Console Only, HACSKABAA Customer Email Locked Devices",209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Console-Only-HACSKABAA-Customer-Email-Locked-Devices-/264646097623?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
2020-05-05 05:23:00,Nintendo Switch Game Console HACSKABAA - Locked,209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Game-Console-HACSKABAA-Locked-/264579145295?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
2020-05-05 05:23:00,Nintendo Switch Game Console HACSKABAA Locked,209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Game-Console-HACSKABAA-Locked-/264579144373?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
2020-05-05 05:23:00,Nintendo Switch Game Console - HACSKABAA - Locked,209.0,0.0,Parts Only,https://www.ebay.com/itm/Nintendo-Switch-Game-Console-HACSKABAA-Locked-/264579145993?_trksid=p2349526.m4383.l10137.c10&nordt=true&rt=nc&orig_cvip=true,"['Hackensack', 'New Jersey', 'United States']", certrbtech,3001.0,98.3
